date,label,risk_multiplier,rain_anom_30d,dry_frac_30d
2019-04-18,crisis,0.36,-0.5547,0.6667
2019-04-22,crisis,0.36,-0.5101,0.6
2019-04-23,crisis,0.36,-0.5206,0.6
2019-04-24,crisis,0.36,-0.523,0.6
2019-04-25,crisis,0.36,-0.5251,0.6
2019-04-26,crisis,0.36,-0.5267,0.6
2019-04-29,crisis,0.36,-0.6433,0.6333
2019-04-30,crisis,0.36,-0.6022,0.6333
2019-05-01,crisis,0.36,-0.5756,0.6
2019-05-02,crisis,0.36,-0.4427,0.5667
2019-05-03,crisis,0.36,-0.4309,0.5333
2019-05-06,crisis,0.36,-0.3797,0.4667
2019-05-07,crisis,0.36,-0.2768,0.4333
2019-05-08,crisis,0.36,-0.2225,0.4
2019-05-09,crisis,0.36,-0.0866,0.3667
2019-05-10,crisis,0.36,0.2378,0.3333
2019-05-13,crisis,0.36,0.3905,0.3333
2019-05-14,crisis,0.4,0.2891,0.3667
2019-05-15,crisis,0.4,0.3842,0.3667
2019-05-16,crisis,0.4,0.4231,0.3667
2019-05-17,crisis,0.4,0.2723,0.3667
2019-05-20,crisis,0.4,0.2413,0.4
2019-05-21,crisis,0.4,0.3324,0.3667
2019-05-22,crisis,0.4,0.373,0.3333
2019-05-23,crisis,0.4,0.3906,0.3
2019-05-24,crisis,0.4,0.4321,0.2667
2019-05-28,calm_bull,1.0,0.657,0.1667
2019-05-29,calm_bull,1.0,0.7805,0.1333
2019-05-30,calm_bull,1.0,0.8511,0.1333
2019-05-31,calm_bull,0.9,0.8584,0.1333
2019-06-03,calm_bull,0.9,0.9347,0.1333
2019-06-04,calm_bull,0.9,0.9728,0.1333
2019-06-05,euphoric,0.765,0.9734,0.1333
2019-06-06,euphoric,0.765,1.0233,0.1333
2019-06-07,euphoric,0.765,1.0788,0.1333
2019-06-10,euphoric,0.765,0.5385,0.1333
2019-06-11,euphoric,0.85,0.4531,0.1333
2019-06-12,euphoric,0.85,0.4876,0.1
2019-06-13,euphoric,0.85,0.5004,0.0667
2019-06-14,euphoric,0.85,0.3883,0.0667
2019-06-17,euphoric,0.85,0.4378,0.0333
2019-06-18,euphoric,0.85,0.4901,0.0
2019-06-19,euphoric,0.85,0.4814,0.0
2019-06-20,euphoric,0.765,0.4083,0.0
2019-06-21,euphoric,0.85,0.3881,0.0
2019-06-24,euphoric,0.765,0.6176,0.0333
2019-06-25,euphoric,0.765,0.6166,0.0333
2019-06-26,euphoric,0.765,0.6322,0.0333
2019-06-27,euphoric,0.765,0.5559,0.0333
2019-06-28,euphoric,0.765,0.4637,0.0333
2019-07-01,euphoric,0.765,0.6101,0.0333
2019-07-02,euphoric,0.765,0.6862,0.0333
2019-07-03,euphoric,0.765,0.6613,0.0333
2019-07-05,euphoric,0.765,0.621,0.0333
2019-07-08,euphoric,0.85,0.4577,0.0333
2019-07-09,euphoric,0.85,0.5086,0.0333
2019-07-10,euphoric,0.85,0.5103,0.0333
2019-07-11,euphoric,0.85,0.5504,0.0333
2019-07-12,euphoric,0.85,0.5355,0.0333
2019-07-15,euphoric,0.765,0.5614,0.0667
2019-07-16,euphoric,0.765,0.7646,0.0667
2019-07-17,euphoric,0.765,0.7314,0.0667
2019-07-18,euphoric,0.765,0.722,0.0667
2019-07-19,euphoric,0.765,0.7282,0.0667
2019-07-22,euphoric,0.85,0.5437,0.0667
2019-07-23,euphoric,0.85,0.5332,0.0667
2019-07-24,euphoric,0.85,0.5952,0.0333
2019-07-25,euphoric,0.85,0.7563,0.0333
2019-07-26,euphoric,0.85,0.8154,0.0333
2019-07-29,euphoric,0.85,1.0054,0.0333
2019-07-30,euphoric,0.85,1.0186,0.0333
2019-07-31,euphoric,0.85,0.9816,0.0333
2019-08-01,crisis,0.4,0.7515,0.0333
2019-08-02,crisis,0.4,0.7175,0.0333
2019-08-05,crisis,0.4,1.0154,0.0333
2019-08-06,crisis,0.4,1.4358,0.0333
2019-08-07,crisis,0.4,1.757,0.0333
2019-08-08,crisis,0.4,1.8253,0.0333
2019-08-09,crisis,0.4,1.9291,0.0333
2019-08-12,crisis,0.36,1.9374,0.0
2019-08-13,crisis,0.4,1.9525,0.0
2019-08-14,crisis,0.4,1.9845,0.0
2019-08-15,crisis,0.4,1.7664,0.0
2019-08-16,crisis,0.36,1.7706,0.0
2019-08-19,crisis,0.36,1.7053,0.0
2019-08-20,crisis,0.36,1.8882,0.0
2019-08-21,crisis,0.36,1.9,0.0
2019-08-22,crisis,0.4,1.8939,0.0
2019-08-23,crisis,0.36,1.9178,0.0
2019-08-26,crisis,0.4,1.7792,0.0
2019-08-27,crisis,0.4,1.7017,0.0
2019-08-28,crisis,0.4,1.7618,0.0
2019-08-29,crisis,0.36,1.8055,0.0
2019-08-30,crisis,0.4,1.6361,0.0333
2019-09-03,crisis,0.36,1.9291,0.0333
2019-09-04,crisis,0.4,1.9477,0.0333
2019-09-05,crisis,0.4,1.5349,0.0333
2019-09-06,crisis,0.4,1.226,0.0333
2019-09-09,crisis,0.4,1.2367,0.0333
2019-09-10,crisis,0.4,1.3014,0.0333
2019-09-11,crisis,0.4,1.3344,0.0333
2019-09-12,crisis,0.4,1.5455,0.0333
2019-09-13,crisis,0.4,2.0573,0.0333
2019-09-16,calm_bull,1.0,2.0983,0.0333
2019-09-17,calm_bull,1.0,2.6863,0.0333
2019-09-18,calm_bull,1.0,2.6973,0.0333
2019-09-19,calm_bull,1.0,2.5118,0.0333
2019-09-20,calm_bull,1.0,2.486,0.0333
2019-09-23,calm_bull,1.0,2.5501,0.0333
2019-09-24,calm_bull,1.0,2.5102,0.0667
2019-09-25,calm_bull,1.0,2.4902,0.0667
2019-09-26,calm_bull,1.0,2.445,0.1
2019-09-27,calm_bull,1.0,2.2658,0.1
2019-09-30,calm_bull,1.0,2.0717,0.1
2019-10-01,calm_bull,1.0,1.9008,0.1
2019-10-02,calm_bull,1.0,1.6982,0.1
2019-10-03,calm_bull,1.0,2.1404,0.1
2019-10-04,calm_bull,1.0,2.0504,0.1
2019-10-07,calm_bull,1.0,1.9056,0.1667
2019-10-08,calm_bull,1.0,1.7478,0.2
2019-10-09,calm_bull,1.0,1.6909,0.2333
2019-10-10,calm_bull,1.0,1.6083,0.2667
2019-10-11,calm_bull,1.0,1.5684,0.2667
2019-10-14,calm_bull,1.0,0.786,0.3333
2019-10-15,calm_bull,1.0,0.7204,0.3667
2019-10-16,calm_bull,1.0,0.7034,0.4
2019-10-17,calm_bull,1.0,0.1579,0.4333
2019-10-18,calm_bull,0.9,0.1234,0.4333
2019-10-21,calm_bull,0.9,-0.1294,0.5333
2019-10-22,calm_bull,0.9,-0.3558,0.5667
2019-10-23,calm_bull,0.9,-0.3656,0.6
2019-10-24,calm_bull,0.9,-0.3655,0.6
2019-10-25,calm_bull,0.9,-0.374,0.6333
2019-10-28,calm_bull,1.0,-0.3955,0.7
2019-10-29,calm_bull,0.9,-0.3932,0.7
2019-10-30,calm_bull,0.9,0.0299,0.7
2019-10-31,calm_bull,1.0,0.1057,0.7
2019-11-01,calm_bull,1.0,0.1015,0.7
2019-11-04,calm_bull,1.0,-0.3917,0.7333
2019-11-05,calm_bull,1.0,-0.3992,0.7333
2019-11-06,calm_bull,1.0,-0.4007,0.7333
2019-11-07,calm_bull,1.0,-0.3996,0.7333
2019-11-08,calm_bull,1.0,-0.4019,0.7333
2019-11-11,calm_bull,1.0,0.3618,0.7
2019-11-12,calm_bull,1.0,0.3601,0.7
2019-11-13,calm_bull,1.0,0.3559,0.7
2019-11-14,calm_bull,1.0,0.349,0.7
2019-11-15,calm_bull,1.0,0.342,0.7
2019-11-18,calm_bull,1.0,0.3182,0.7333
2019-11-19,calm_bull,1.0,0.3157,0.7333
2019-11-20,calm_bull,1.0,0.3132,0.7333
2019-11-21,euphoric,0.765,0.3107,0.7333
2019-11-22,euphoric,0.765,0.3081,0.7333
2019-11-25,euphoric,0.765,0.2995,0.7333
2019-11-26,euphoric,0.765,0.2951,0.7333
2019-11-27,euphoric,0.765,0.2934,0.7333
2019-11-29,euphoric,0.765,-0.1497,0.7667
2019-12-02,euphoric,0.765,-0.3692,0.8667
2019-12-03,euphoric,0.765,-0.3821,0.9
2019-12-04,euphoric,0.765,-0.3845,0.9
2019-12-05,euphoric,0.765,-0.3852,0.9
2019-12-06,euphoric,0.765,-0.3859,0.9
2019-12-09,euphoric,0.765,-0.456,0.9333
2019-12-10,euphoric,0.765,-1.0415,0.9667
2019-12-11,euphoric,0.765,-1.2008,1.0
2019-12-12,euphoric,0.765,-1.198,1.0
2019-12-13,euphoric,0.765,-1.1978,1.0
2019-12-16,euphoric,0.765,-1.1809,1.0
2019-12-17,euphoric,0.765,-1.179,1.0
2019-12-18,euphoric,0.765,-1.1764,1.0
2019-12-19,euphoric,0.765,-1.1742,1.0
2019-12-20,euphoric,0.765,-1.172,1.0
2019-12-23,euphoric,0.765,-1.1656,1.0
2019-12-24,euphoric,0.765,-1.1635,1.0
2019-12-26,euphoric,0.765,-1.1633,1.0
2019-12-27,euphoric,0.765,-1.1627,1.0
2019-12-30,euphoric,0.765,-1.1664,1.0
2019-12-31,euphoric,0.765,-1.1651,1.0
2020-01-02,euphoric,0.765,-1.1606,1.0
2020-01-03,euphoric,0.765,-1.16,1.0
2020-01-06,euphoric,0.765,-1.1556,1.0
2020-01-07,euphoric,0.765,-1.1542,1.0
2020-01-08,euphoric,0.765,-1.1527,1.0
2020-01-09,euphoric,0.85,-1.1512,1.0
2020-01-10,euphoric,0.85,-1.1497,1.0
2020-01-13,euphoric,0.85,-1.1453,1.0
2020-01-14,euphoric,0.85,-1.1438,1.0
2020-01-15,euphoric,0.85,-1.1457,1.0
2020-01-16,euphoric,0.85,-1.1439,1.0
2020-01-17,euphoric,0.85,-1.1422,1.0
2020-01-21,euphoric,0.85,-1.1359,1.0
2020-01-22,crisis,0.36,-1.1341,1.0
2020-01-23,crisis,0.4,-1.1324,1.0
2020-01-24,crisis,0.36,-1.1307,1.0
2020-01-27,crisis,0.36,-1.1247,1.0
2020-01-28,crisis,0.36,-1.1241,1.0
2020-01-29,crisis,0.36,-1.1102,0.9667
2020-01-30,crisis,0.36,-1.1098,0.9667
2020-01-31,crisis,0.36,-1.111,0.9667
2020-02-03,crisis,0.36,-1.1099,0.9667
2020-02-04,crisis,0.36,-1.1095,0.9667
2020-02-05,crisis,0.36,-1.1092,0.9667
2020-02-06,crisis,0.36,-1.1089,0.9667
2020-02-07,crisis,0.36,-1.1085,0.9667
